name,No,Company.Name,Month,Description,Founded,Lead.Investor,Deal.Size,Prior.Raise,Reason,Interesting,uuid,,,,
on24,155,ON24,42521,"Provider of cloud-based webcasting and virtual communications technology. The company helps in demand generation, product launches, user conferences, virtual trade shows, sales enablement, partner enablement, town hall meetings, recruiting and training applications.",1998,Goldman Sachs Private Capital Investing Group (Holger Staude),25,19.195,Business Model,0,0d58dcbb-29e3-9bf9-8378-cc086cb001c7,,,,30/05/2016
one,59,One,42735,Developer of policy-issuance and management software. The company develops software which enables insurance agencies to find and manage general insurance policies best suited to their users.,2005,AXA Strategic Ventures (Alex Scherbakovsky),20,16.7,Early / Small,0,a83202e7-6200-1721-5b37-eb02e374e05b,,,,30/12/2016
oodahealth,585,OODA Health,43373,Developer of a payer administration platform designed to transform the way patients pay for healthcare. The company's platform uses AI and real-time payments via retail-like experience and streamlines the experience for all.,2017,"Draper Fisher Jurvetson Management, Oak HC/FT(Nancy Brown)",40.5,2,NA,1,7e757938-ac7e-421d-a4a0-6dfbe50fdb3c,,,,29/09/2018
opcity,72,OpCity,42886,"Developer of an online real estate referrals platform designed to match top agents with qualified home buyers and sellers in real-time. The company's platform applies data analytics and machine learning to large proprietary data sets and intelligently matches qualified consumers with the right real estate agent for them based on historical performance and profile data as well as drives higher close rates for agents and brokers and provides centralized data and insights for brokers to view their pipelines and team performance, enabling agents and brokers to get access to pre-screened, pre-validated referrals at no cost, close more deals and track ROI on their lead sources.",2015,Icon Ventures (Thomas Mawhinney),27,0,Early / Small,0,a79c3468-3306-1ec7-c0e8-1ad44ff76574,,,,30/05/2017
openclassrooms,227,OpenClassrooms,43251,"Developer of an educational platform designed to provide training services to the future UX designers, data scientists and web developers. The company's platform offers over 300 official professional certifications and roughly 30 degree courses, ranging in levels from Bac+2 to +5, across a wide range of subjects, from web and mobile development to design, data processing and marketing, enabling students to learn and train themself online for the most in-demand jobs on the market.",2007,General Atlantic (Chris Caulkin),60,9.672444446,Business Model,0,463e2d8c-2df3-5739-8891-bdce3b8288f5,,,,30/05/2018
openlending,147,Open Lending,42460,"Provider of automated lending services for the automotive sector. The company offers loan underwriting, loan analytics, risk-based pricing, risk modeling and automated decision technology for automotive lenders throughout the United States.",2000,Bregal Sagemount (Gene Yoon),40,10,Business Model,0,9eddd3c5-3d94-96cc-3ba7-691d4619d285,,,,30/03/2016
optimove,168,Optimove,42643,"Developer of Web-based products for use by marketers in Internet companies. The company offers a cloud-based data-driven marketing platform that understands every customer and helps them with customer modelling, real-time hyper-targeting and multi-channel campaign orchestration.",2009,Israel Growth Partners (Moshe Lichtman),20,0,NA,1,92a441a5-51dc-23aa-eaed-7f05c3e73c45,,,,29/09/2016
ordergroove,61,OrderGroove,42766,Provider of a SaaS-based subscription commerce platform designed to help brands and retailers with their subscription models and retention rates. The company's platform works on both standalone platforms and platforms that are integrated within an existing ecosystem enabling brands to identify and interact with their most profitable customers to maximize lifetime value.,2008,National Securities,20,16.8,Early / Small,0,92376b96-7419-8d71-3c6d-d951a1087704,,,,30/01/2017
ordermygear,222,OrderMyGear,43220,"Provider of an e-commerce platform. The company provides a platform that streamlines merchandising, ordering and fulfillment for the team sporting goods and group apparel markets. Its software platform facilitates these purchases through online stores and tools for dealers, decorators and other businesses selling group apparel to teams, corporations or other groups.",2008,Susquehanna Growth Equity (Ben Weinberg),35,0.55,Business Model,0,55e9b629-d8e2-47d7-57ed-b2e2937d4d38,,,,29/04/2018
otonomo,309,Otonomo,42855,Provider of a cloud platform for autonomous cars. The company's Internet of Things platform connects autonomous cars with the cloud and offers integration of services and analytics.,2015,Delphi Automotive PLC,25,12,NA,1,183a92ef-9263-294f-0108-74196d10c430,,,,29/04/2017
outcomehealth,339,Outcome Health,42886,"Provider of an actionable health intelligence platform designed to activate the best health outcome possible. The company's platform offers exam room technologies that engages patients and caregivers as they wait to see their provider, delivers intelligence to the consultation so that providers can better communicate conditions and treatment options, engages patients with clinical trial education at the moment of care and delivers practice information, condition & treatment options and health assessments, enabling patients and physicians to make the best healthcare decision possible.",2006,Goldman Sachs,500,0.1,NA,1,19ad7e62-a37e-be8c-f751-e3ec8eae9547,,,,30/05/2017
outdoorsy,481,Outdoorsy,43131,"Provider of an online marketplace for recreational vehicles designed to get car rentals. The company's online marketplace connects RV owners with other campers and get insurance coverage for both owner and rente, enabling users to get experience of recreational vehicles without having ownership.",2014,"Altos Ventures, Aviva Ventures",25,10.520002,NA,1,e180481e-c804-7642-ffc5-4ef606959142,,,,30/01/2018
outsystems,138,OutSystems,42429,"Developer of web business applications and platform. The company provides Agile Platform to develop, deploy, manage and change web applications that are robust, ready to scale and based on standard technology, ensuring no vendor lock-in.",2001,North Bridge Growth Equity (Mike Pehl),55,6.987753135,Business Model,0,c72e3008-7f83-a497-2640-027702a4410e,,,,28/02/2016
overops,253,OverOps,42855,"Developer of a cloud-based platform designed to debug production code. The company's cloud-based platform indicates when exceptions, log errors or slowdowns occur in production and displays the exact code and variable state for each error enabling developers to stare at call stacks and guess which values were there.",2011,Lightspeed Venture Partners (Arif Janmohamed),31.43,19.52,Previous Investors,0,11a91f53-34cc-773e-9404-3d9806563ba0,,,,29/04/2017
panopto,158,Panopto,42613,"Developer of a video capture and management software. The company offers a video, audio and screen recorder cloud-based software that enables users to capture, edit, stream, archive, share and broadcast presentations, city council meetings, lectures and live events.",2007,Sterling Partners (Jason Rosenberg),42.8,0,NA,1,a89dd30f-dde3-2508-8c59-9d1ae83ce8ec,,,,30/08/2016
parkwhiz,24,ParkWhiz,42400,Provider of parking services. The company develops an online platform that allows customers to reserve parking in real-time.,2006,Baird Capital (Benedict Rocchio),24,13.000005,NA,1,7c226b16-f041-d0c6-0c8b-4596b8b5ba9e,,,,30/01/2016
passport,448,Passport,43100,"Provider of parking, transportation and transit management platform designed to centralize and control parking and transit systems. The company's parking, transportation and transit management platform delivers intelligent data to improve decision making, enabling clients to make parking efficient.",2010,Bain Capital Ventures (Matthew Harris),43,14.5,NA,1,ca6920a6-650e-40f5-80fa-2a008193c42e,,,,30/12/2017
patientslikeme,250,PatientsLikeMe,42766,"Provider of a clinical research platform that provides real-time insight into thousands of diseases and conditions. The company provides a health information sharing website for patients to share both personal stories and health data about your conditions. It helps people find new options for treatments, connect with others and take action to improve their outcomes.",2004,"iCarbonX (Jun Wang), Invus Group (Philippe Amouyal)",100,26.29,NA,1,0e975c88-f918-40d5-93f2-5eb7c069909d,,,,30/01/2017
patreon,13,Patreon,42400,Provider of crowdfunding services for artists. The company develops an online platform that enables fans and sponsors to support artists and creators.,2013,Thrive Capital,30,17.075504,NA,1,b8ce2a86-ad81-6958-425a-3e988688f08c,,,,30/01/2016
paxata,51,Paxata,42674,"Provider of an adaptive data preparation platform. The company's platform provides analyst-centric data preparation experience powered by a set of technologies designed from the ground up for data integration, semantic enrichment, collaboration and governance.",2012,Intel Capital (Igor Taber),33.5,28.06,Early / Small,0,ebf5dada-6f9f-9d89-083e-636109c44f3e,,,,30/10/2016
payfit,77,PayFit,42947,"Developer of an employee payroll software designed to easily manage payroll and leave. The company's employee payroll software facilitates small businesses to manage their employee payrolls and pay slips, enabling them to get automated monthly payments to their bank accounts.",2015,Accel (Philippe Botteri),15.9,6.08,Early / Small,0,58ae0dcb-05d7-23c5-5751-7ab314b5c3da,,,,30/07/2017
paymerang,102,Paymerang,43190,"Provider of online payment services designed to facilitate electronic supplier payments. The company's cloud-based software integration, vendor enrollment, payment processing and reconcilement services offer the added convenience of no limits on payments and no lengthy financial statements and also without paying anything out of pocket for the services.",2009,Aldrich Capital Partners (Mirza Baig),26,0,Early / Small,0,a467c0a5-bda9-5c31-60d4-653bfd09c23b,,,,30/03/2018
paysimple,185,PaySimple,42674,"Provider of electronic payment services for small and mid-sized businesses. The company designs and develops a platform, which helps users to bill, collect and deposit their payments automatically and also offers electronic check processing services.",2005,Providence Equity Partners,115,22.74,Business Model,0,53193031-a3db-931f-c7fe-43097798d7e2,,,,30/10/2016
pebblepost,367,PebblePost,42947,"Provider of digital-to-direct mail platform designed to transform real-time online activity into personalized, dynamically rendered direct mail delivered to postal hubs within 12 to 24 hours. The company's mail platform integrates segmentation, campaign management, production, analytics and optimization, providing entities with higher response, conversion raised and ROAS.",2014,RRE Ventures (James Robinson),47,9.32,NA,1,591ae822-0d26-361d-0ae7-25861e5ddf43,,,,30/07/2017
pelotontechnology,312,Peloton Technology,42855,"Developer of an automated vehicle technology designed to improve the U.S. and global freight transportation. The company's Peloton System utilizes vehicle-to-vehicle communications and radar-based active braking systems, combined with vehicle control algorithms to link pairs of heavy trucks that dynamically limits platooning to appropriate roads and conditions, enabling its customers from the truck industry to improve safety and fuel efficiency of trucks.",2011,Omnitracs (John Graham),60,18.5,NA,1,39c0fb7f-ede2-34ac-f265-686eaeac2462,,,,29/04/2017
peopleai,128,People.ai,43404,"Developer of revenue intelligence platform designed to solve solving the problem of sales and marketing alignment. The company's platform offers sales automation tools to automate manual tasks like logging activities into CRM, enabling companies with increased sales, marketing and customer success.",2016,Andreessen Horowitz(Peter Levine),30,8.58,Early / Small,0,010a349a-14bf-76ff-53b5-5fb3281a46de,,,,30/10/2018
perimeterx,80,PerimeterX,42947,"Provider of a cloud, network and web security platform designed to prevent automated attacks. The company's web security platform provides scalable, behavior-based threat protection technology for the web, cloud and mobile from all types of automated or non-human attacks, enabling enterprises to catch real-time automated attacks with unparalleled accuracy.",2014,Canaan Partners (Joydeep Bhattacharyya),18,17,Early / Small,0,64ee97ba-7846-fbd5-fbef-769100ecefbd,,,,30/07/2017
periscopedata,220,Periscope Data,42704,"Developer of tools for structured query language analysts. The company offers a platform that plugs directly into a database and lets users run, save and share analysis over billions of data rows in seconds.",2012,Bessemer Venture Partners (Ethan Kurzweil),25,11.36,NA,1,6e795eec-612e-7498-aebe-59002d5bd869,,,,29/11/2016
perkspot,571,Perkspot,43343,Private marketplace that allows employees to save money on a variety of goods and services,2006,Susquehanna Growth Equity,50,0,NA,1,ff614a2a-762d-227a-fe85-ccd8aff1d5be,,,,30/08/2018
phenompeople,533,Phenom People,43251,"Provider of a talent relationship marketing platform designed to help people to find jobs. The company's Phenom TRM Cloud Platform aligns the objectives, priorities and actions of candidates, recruiters, hiring managers and talent acquisition leaders, enabling clients to hire efficiently for their team.",2010,AXA Venture Partners(Alex Scherbakovsky),22,11.67,NA,1,80741a40-75eb-c963-d23e-be4b9f76485e,,,,30/05/2018
picsart,154,PicsArt,42490,"Provider of a mobile photo-editing application. The company offers a platform that includes tools for photo manipulation, freehand drawing, text, and layout templates that look like scrap-booking pages.",2011,,20,25.000001,Business Model,0,e21cd6cd-f563-1f31-d7e4-87263e0b5355,,,,29/04/2016
pineapplepayments,392,Pineapple Payments,43008,"a Pittsburgh, PA-based provider of omni-channel payment processing technology solutions,",2016,Providence Strategic Growth,35,0,NA,1,22251a76-5b5f-0ca8-a41a-23d313d1c644,,,,29/09/2017
placeiq,7,PlaceIQ,42400,"Developer of geo-location data services and mobile marketing tools. The company provides location intelligence, enabling advertisers to reach definite mobile brand audiences at scale for marketing activities.",2010,Harmony Partners (Mark Lotke),25,26.960978,NA,1,fd153b3f-af4e-b760-2918-70f15277ac44,,,,30/01/2016
planday,579,Planday,43343,"Provider of a cloud based workforce management platform intended to create connections between employees and businesses. The company's platform helps users to create and maintain optimal schedule, taking things like staffing needs, budget, employee availability and workforce regulations into account, enabling businesses to move away from cumbersome, manual processes and into ways of working that make the interaction between hourly employees and their workplaces real-time and collaborative.",2004,SEB Private Equity(Victor Lang),40,17.85,NA,1,c6a3b420-3098-0196-42c8-81f287cb3894,,,,30/08/2018
plastiq,238,Plastiq,43251,"Developer of a bill payment service platform intended to make bill payment simple and seamless. The company's platform allows users to use a credit card for any kind of expense including those which usually require a check, making it possible for savvy consumers and businesses to earn credit card rewards, tap early-payment discounts and use the cash flow productively.",2012,Kleiner Perkins(Ilya Fushman),26.83,18.22,Business Model,0,11ac6d43-574c-40cb-c150-71c7905301fd,,,,30/05/2018
policygenius,334,PolicyGenius,42886,"Provider of an online insurance marketplace intended to get people the insurance coverage they need. The company's platform Insurance Checkup, allows consumers to review, research and compare quotes for life, long-term disability, renters and pet insurance as well as guides users through a five-minute Q&A to develop a personalized, in-depth review of all their insurance needs based on their financial and family situations, enabling them to find right insurance policy at the right price.",2013,Norwest Ventures,30,21.05,NA,1,d196050e-04eb-488a-c05f-ed05daff3ad0,,,,30/05/2017
portworx,306,Portworx,42855,Provider of container data services designed to automate the deployment and operations of data services at scale. The company'container data services offers storage optimization technologies enabling DevOps to run any database or stateful service with any scheduler on any infrastructure and automate container clusters when running containerized databases and other stateful services in production.,2014,Sapphire Ventures (Jai Das),20,8.5,NA,1,d62387ed-23c9-5a6c-26a6-a9e20f92c535,,,,29/04/2017
precisionlender,447,PrecisionLender,43100,Provider of a pricing and profitability-management software platform intended to develop a completely new way to look at the commercial lending paradigm. The company's web-based software platform enables financial institutions to manage pricing and credit portfolios and allows loan officers to have a constructive conversation that focuses on the borrower's needs and offer hand-crafted debt products that works for both the borrower and the bank.,2009,Insight Venture Partners (Richard Wells),0,19.6,NA,1,88b3b72c-e388-9352-fcbb-c4381577d636,,,,30/12/2017
predictix,12,Predictix,42400,"Provider of cloud-based retail applications. The company offers software as a services (SaaS) merchandising and supply chain applications that uses big data and analytics process to help into forecasting, planning, optimizing and analyzing data sets.",2005,Infor Global Solutions (Duncan Angove),25,15,NA,1,1922a3d3-a55d-0623-f34b-69c2ef691386,,,,30/01/2016
project44,104,Project44,43220,"Operator of a logistics technology platform designed to digitize the shipment life-cycle. The company's platform brings dynamic shipment data and supply chain visibility in terms of pricing, routing, scheduling, tracking, delivery documentation and payments, enabling enterprises to offer smarter end-to-end shipping experience to their customers, as well as deliver value.",2014,OpenView Venture Partners (Jim Baum),35,13,Early / Small,0,15354a6e-c6e0-68ab-9214-52afaf0cf453,,,,29/04/2018
protectwise,256,ProtectWise,42766,"Provider of enterprise network security. The company is developing a cloud-based platform focused on cybersecurity. Its platform, currently operating as a subscription-based service, offers automated smart retrospection, security visualization and on-demand deployment, among other features.",2013,Tola Capital (Sheila Gulati),50.4,17.11,NA,1,c511b2fe-34df-5469-54e9-f7b76853ba3a,,,,30/01/2017
punchh,103,Punchh,43220,"Developer of mobile application designed to offer phone based referral and loyalty program. The company's digital marketing platform provides innovative digital marketing products for brick and mortar retailers, combining AI and machine learning technologies, mobile-first expertise, and Omni-Channel communications. It connect with any customer across any channel and deliver delightful personalized engagements that convert casual guests into brand loyalists and advocates, enabling restaurants to engage customers across any channel or interaction, predict consumer behavior, and increase sales by executing tailored marketing campaigns.",2010,Sapphire Ventures,20,3,Early / Small,0,98b8e56f-ac22-4f13-60ec-276d027f697b,,,,29/04/2018
pymetrics,269,Pymetrics,43373,"Provider of an online recruitment platform intended to make the recruitment process more effective, accurate and unbiased. The company's platform uses a combination of neuroscience and artificial intelligence to collect dense behavioral data from successful professionals in various roles and use machine learning to build models of which traits separate the successful professionals from the general population, enabling recruiters to find the right candidate easily.",2012,General Atlantic(Alex Crisses),40,22.76,Previous Investors,0,23713fed-b32f-1e96-69cc-5b8155b347c7,,,,29/09/2018
q4,582,Q4,43373,"Provider of a cloud-based investor relations platform designed to improve the effectiveness of investor relations through innovative, forward-thinking website services. The company's platform offers a portfolio of leading-edge intelligence and communications tools and insights, enabling companies to make effective decisions and better engage with shareholders.",2006,Napier Park Financial Partners(Daniel Kittredge),38,29.95,NA,1,d22dbfcc-cf0f-c3e8-48d2-cfa13fe3f022,,,,29/09/2018
qasymphony,331,QASymphony,42886,"Developer of a software testing platform designed to improve speed, efficiency and collaboration throughout the software testing lifecycle. The company's software testing platform offers a suite of software testing tools that provides real time visibility and control across all development and testing methodologies, enabling companies to create better software with the visibility and control needed to ensure application quality in fast-paced development environments.",2011,Insight Venture Partners (Philip Vorobeychik),40,13.5,NA,1,1852d5ee-4d30-fdea-641e-32f874ee1db1,,,,30/05/2017
quantexa,118,Quantexa,43343,"Developer of entity resolution and network analytics technology designed to improve the quality of data-driven decisions and to drive down the cost of delivering complex data programs. The company's entity resolution and network analytics technology allows organizations to resolve entities and build networks dynamically and in batch. It provides an enriched central view of data assets that can service many business lines, enabling financial services, corporate and public sectors to create a unique single and networked view of their customers across disparate data sources, to support all areas of your business.",2016,Dawn Capital(Norman Fiore),20,3.29,Early / Small,0,a5fc7b9c-5ba5-abdb-f1c7-d87d29e00fab,,,,30/08/2018
quantifind,142,Quantifind,42429,Developer of technologies to extract information from business intelligence data. The company offers data analytics services ranging from front-end integration of the QuantiFind engine with a content provider's website to behind the fire-wall deployment in a secure environment.,2009,Cathay Capital Private Equity (Denis Barrier),30,23.000001,Business Model,0,8f94b7ff-f094-aac3-c044-63e27559f6f6,,,,28/02/2016
quantopian,186,Quantopian,42704,"Provider of a browser-based algorithmic trading platform. The company provides a platform giving users the tools and infrastructure to create and optimize their trading algorithms. It provides capital, data, a research environment and a development platform to algorithm authors.",2011,Andreessen Horowitz (Alastair Rampell),25.63,23.85,Business Model,0,5137b4b5-d503-fdc5-03f0-930e8b52134b,,,,29/11/2016
quantummetric,121,Quantum Metric,43373,"Developer of platform designed for anomaly detection. The company's platform offers intelligent issue prioritization that allows to easily identify, prioritize and take action to maximize the business value of web and native apps, enabling businesses and corporate clients to improve their digital experience, increase business productivity and optimize business efficiency.",2011,Insight Venture Partners(Lonne Jaffe),25,2,Early / Small,0,ca16ef74-54a6-fa9c-20b9-ccf2595ac35a,,,,29/09/2018
quartethealth,17,Quartet Health,42490,Provider of a cloud based behavioral healthcare platform. The company operates a digital healthcare platform that allows medical and behavioral health clinicians to work collaboratively on shared treatment goals and also helps patients to access to technology-enabled care.,2014,GV (Krishna Yeshwant),40,7.000002,Early / Small,0,ae950a2d-e8c6-4c6e-94b0-eaf3e53a8af5,,,,29/04/2016
qubole,21,Qubole,42400,Developer of a cloud based big data platform. The company develops a platform that analyzes data and builds data driven applications and helps in processing data sets.,2011,IVP (Somesh Dash),30,20,NA,1,eadd3cc1-204c-272d-9e96-bc0dd194376b,,,,30/01/2016
r4technologies,232,r4 Technologies,43312,"Developer of an artificial intelligence platform designed to make data science available to business users. The company's cloud platform enriches client-owned data with information from multiple external sources, then automatically identifies and exploits patterns in data to deliver immediate commercial impact, enabling clients to find opportunities hidden in massive amounts of data and action them.",2012,Pilot Growth Equity(Neil Callahan),20,0,Business Model,0,3b88388a-4c45-4cd8-0445-3579d6309c4f,,,,30/07/2018
rainforestqa,465,RainforestQA,43131,"Provider of a platform designed to offer agile testing and development services. The company's platform offers software testing services, high-quality regression, functional and exploratory testing for web and mobile apps that helps users built new and innovative products, enabling development teams to deploy bug-free websites.",2012,Bessemer Venture Partners,25,16.169993,NA,1,73ba7f2e-d66a-c606-8b2c-e4dcc9e127e3,,,,30/01/2018
rdc,160,rdc,42643,"Provider of anti money laundering, know your customer, anti-bribery & corruption monitoring services. The company offers GRID, a public source risk database that offers information on suspected criminals, corrupt officials, money launderers, terrorists, narcotics traffickers, politically exposed persons, fraudsters, shell banks and sanctioned entities.",2002,Vista Equity Partners (Robert Rogers),160,0,NA,1,af8a17d5-417c-313a-22c1-9b344924175d,,,,29/09/2016
realself,509,RealSelf,43220,"Provider of an online aesthetics marketplace designed to learn about cosmetic treatments and connect with doctors and other clinicians. The company's platform is an online marketplace for people to learn and share experiences about elective cosmetic procedures and connect with the right providers, enabling users to make confident health and beauty decisions.",2006,Elephant Partners (Andrew Hunt),40,3.416801,NA,1,0131c0b9-f013-50f6-e33e-7d0067e80f71,,,,29/04/2018
realtimeboard,129,RealtimeBoard,43434,"Developer of an online collaboration and whiteboarding platform designed for cross-functional team collaboration. The company's collaboration platform allows up to 100,000 people to simultaneously and securely collaborate on a single digital whiteboard at a time, with features to attach files or objects to the boards including PDF's, videos and shared documents, enabling teams and organizations of any size to easily create and develop products, services and processes virtually, regardless of team member location.",2011,Accel,25,1.3,Early / Small,0,004585f6-70d2-da74-7ff1-9f68a8e1162a,,,,29/11/2018
realtyshares,144,RealtyShares,42429,"Owner and operator of an online crowdfunding platform for real estate investments. The company allows investors to browse through investment opportunities, review investment details and make investments.",2013,Union Square Ventures (John Buttrick),20,11.899991,Business Model,0,861c9069-64a1-c61e-d80b-9cb711d21454,,,,28/02/2016
receiptbank,366,Receipt Bank,42947,"Developer of a bookkeeping automation software designed to automatize small business bookkeeping. The company's software is a user-friendly tool that gives businesses the power to automate invoicing, eliminate errors and inefficiencies and get real-time updates on their finances, enabling bookkeepers, accountants and businesses clients to spend less time on entering data and reconciling accounts and more time helping their clients look forward and plan strategically for the future.",2010,Insight Venture Partners (Bradley Twohig),50,14.46,NA,1,9f316816-69ff-a1f6-1e67-445fbfec86bd,,,,30/07/2017
redawning,82,RedAwning,42978,"Supplier of vacation rental property information. The company's network features vacation rental properties in over 10,000 destinations, that have clear payment processes, 24/7 guest support and insurance coverage. The company also supplies vacation rentals to major online travel agents and channels, enabling customers to book vacation rental homes for every budget, as easily as booking hotels.",2010,Silversmith Capital Partners (James Quagliaroli),40,0,Early / Small,0,bab00e8a-3682-57cf-eb1e-a5599a615e1e,,,,30/08/2017
redshelf,125,RedShelf,43404,"Developer of a digital learning platform intended to improve education through product innovation. The company collaborates with publishers, institutions, campus bookstores and strategic partners to provide the technology to accelerate the transition to digital and make learning materials more accessible and affordable.",2011,DNS Capital(Michael Pucker),25,3.05,Early / Small,0,839943f6-2252-cca1-65bd-83e707d2b0da,,,,30/10/2018
reduxio,298,Reduxio,42825,"Provider a time-based of storage and data management platform designed to redefine data management and protection. The company' time-based storage and data management platform is a time-based data storage management technology puts data at the middle of its architecture and enables complete virtualization of all types of storage, delivering the most effective storage for the most demanding enterprise applications, recover data from any second in the past, store up to 7 times more data and fight against threat of ransom-ware attacks.",2012,C5 Capital (Marcos Battisti),22.5,28.9,NA,1,e5ca7373-91b2-3f99-2859-decc5afef062,,,,30/03/2017
reflektive,261,Reflektive,42766,"Provider of a real-time performance management platform designed to help companies evolve their performance management processes with real-time feedback. The company's platform integrates into daily workflows, delivering usage rates similar to widely adopted consumer applications enabling companies to have a lightweight and less demotivating real-time feedback system that integrates into an employee's daily workflow.",2014,Lightspeed Venture Partners (Nakul Mandan),25,18.07,NA,1,9dc37fe6-8b27-0b93-5198-f6a85135e146,,,,30/01/2017
relayr,215,Relayr,42674,"Provider of a cloud platform for application developers. The company provides a device, hardware and sensor-agnostic enterprise platform and tools which enable development of new systems, equipment and services for the Internet of Things.",2012,Munich Re/HSB Ventures,23,14,NA,1,eb0d4bb7-8a9d-4d8a-e7f3-199dc26f1f11,,,,30/10/2016
reltio,245,Reltio,42582,"Provider of data-driven applications with modern data management Platform as a Service (PaaS). The company delivers enterprise data-driven applications together with a modern data management Platform as a Service (PaaS) that provides reliable master data, relevant big data insights and intelligent recommended actions.",2011,New Enterprise Associates (Chetan Puttagunta),22,10.300002,Previous Investors,0,f284f15c-9eb6-0547-b4ea-0277072f744e,,,,30/07/2016
remitly,83,Remitly,42490,"Provider of online remittance services. The company provides a mobile payment service enabling consumers to make person-to-person international money transfers from the United States and Canada, principally to the Philippines and India. Its platform is designed to eliminate forms, codes, agents and fees tied to the traditional money-transfer process.",2011,Stripes Group (Ron Shah),38.5,22.500001,NA,1,4dce1545-2bb5-bd62-5175-b2b103661d24,,,,29/04/2016
rescale,566,Rescale,43312,"Developer of cloud-based software platforms and hardware infrastructure intended for companies to perform scientific and engineering simulations. The company's products provide infinite scale, customization tools and the ability to make on-the-fly adjustments, enabling engineers, scientists, developers, and IT professionals to design innovative products, develop robust applications and transform IT into unified, agile environments.",2011,"Initialized Capital Management, Keen Venture Partners(Bernardus Verwaayen), SineWave Ventures",32,20.4,NA,1,3eec7161-87a5-eb7a-1d43-9b12cb46ddc4,,,,30/07/2018
restaurant365,97,Restaurant365,43131,"Provider of a cloud-based restaurant-specific software platform intended to combine restaurant modules with an integrated accounting system. The company's cloud-based restaurant-specific software platform integrates food and labor costs and manages multi-units to automate the accounting and reporting processes, enabling restaurateurs easily access transactional and useful information.",2011,Bessemer Venture Partners (Brian Feinstein),20,0,Early / Small,0,e10f5de4-7303-4774-b1dd-eea576cb7488,,,,30/01/2018
reversinglabs,91,ReversingLabs,43069,"Developer of a threat detection and analysis technologies designed to detect and analyze cyber threat. The company's file intelligence technology performs real-time deep inspection and automated analysis of all content entering the enterprise, with not only the ability to identify good or bad files, such as Ransomware, but to provide context through in-depth static analysis, enabling enabling security teams to respond quickly and assertively to prevent breaches.",2009,"Trident Capital Cybersecurity, JPM",25,0.04,Early / Small,0,c389f552-eef4-be56-d452-3bb88c7d5b5c,,,,29/11/2017
revolut,361,Revolut,42947,"Provider of mobile foreign exchange services designed to help in global money transfer. The company's banking application compares live exchange rates for multiple currencies and make transfers directly to other's bank accounts, enabling consumers to send, spend and exchange money instantly with intuitive ease.",2014,Index Ventures (UK) (Martin Mignot),66,21.18,NA,1,54f2785f-ad03-aec5-eb87-784010a9b684,,,,30/07/2017
rimilia,79,Rimilia,42947,"Developer of cash allocation software. The company's SaaS-based financial software, Alloc8, uses machine learning to help companies immediately match invoices to payments received and manages the collection of outstanding balances by using predictive analytics to prioritize which customers to chase for payment enabling clients to benefit from reduced manual work required to complete this daily tasks and enhanced efficiency in finance processes.",2008,"Kennet Partners, Eight Roads Ventures",25,0,Early / Small,0,58e380d5-a47f-38a0-0bcc-bcf75c956ad7,,,,30/07/2017
riministreet,170,Rimini Street,42551,"Provider of enterprise software support and maintenance services for Siebel, PeopleSoft, JD Edwards and SAP licensees. The company offers support programs with features such as support for client-made customizations, performance tuning and interoperability support.",2005,,125,27.15,Business Model,0,08123a6b-5e49-e3b9-f8c3-17635cd14edb,,,,29/06/2016
riskalyze,214,Riskalyze,42674,"Provider of risk management software and services to investors. The company offers a software platform designed to identify a client's risk tolerance, aligning portfolios to client expectations and quantifying the suitability of investments.",2011,FTV Capital (Bradford Bernstein),20,3.6,NA,1,5612ca7c-d211-0e1f-261f-95e91f721b12,,,,30/10/2016
riskrecon,117,RiskRecon,43343,"Developer of a cloud-based risk assessment platform designed to deliver on-demand assessments of any organization's security practices. The company's cloud-based risk assessment platform provides objective and verifiable analyses of any company's security practices based on the analysis of third-party's internet infrastructure and application presence, enabling users to measure security program quality, control third party risk, improve productivity and ensure accountability among all stakeholders.",2015,Accel(Nate Niparko),25,15,Early / Small,0,a2195d29-5eb1-b887-ff57-43bcaea25fff,,,,30/08/2018
ritual,409,Ritual,43008,"Provider of mobile application for local lunch and coffee ordering. The company's application gives the user the ability to order coffee and lunch from local companies in King West, Toronto and allows for quick pick-ups and avoidance of lines.",2014,Insight Venture Partners,43.5,2.5,NA,1,70f5187f-4b83-3204-812b-24d1296194b5,,,,29/09/2017
riversand,203,Riversand,42916,"Provider of a master data and product information management services intended to analyze customer's data of various clients. The company's master data and product information management services serves leading global enterprises in retail, manufacturing, distribution, energy, healthcare and food services, enabling its clients to enhance their customers' experience and move products faster to the market.",2001,Crestline Investors (William Palmer),35,0,Business Model,0,d4834c2c-1ec8-f9b3-cb3c-a7abf047f481,,,,29/06/2017
roofstock,55,Roofstock,42704,"Provider of a real estate marketplace and transaction platform. The company operates an online marketplace and community created exclusively for investing in leased Single-Family Rental homes that generate cash flow from day one. It provides research, analytics and insights to evaluate and purchase independently certified properties at set prices.",2015,Lightspeed Venture Partners (William Kohler),20,13.25,Early / Small,0,ca6ddb63-7ac2-48f2-a154-67717e1c7960,,,,29/11/2016
